时间,CPU使用率(%),内存使用(MB),磁盘读(KB/s),磁盘写(KB/s),网络收(KB/s),网络发(KB/s)
2024-11-03 23:37:45,5.3,181505.984375,8687.2,78.4,99.91015625,100.1466796875
2024-11-03 23:37:50,48.9,5828.34375,32755.2,188.8,1.9015625,2.0607421875
2024-11-03 23:37:55,14.2,6602.875,2112.0,14936.8,1.9845703125,1.48125
2024-11-03 23:38:00,2.8,6627.04296875,217.6,36.8,0.680859375,0.5609375
